"	PUNCT
ADB	PROPN
sendiri	DET
mempertimbangkan	VERB
untuk	SCONJ
menyetujuinya	VERB
karena	SCONJ
ini	PRON
menggunakan	VERB
'	PUNCT
renewable	X
energy	X
'	PUNCT
dan	CCONJ
juga	ADV
digunakan	VERB
sebagai	ADP
bagian	NOUN
dari	ADP
clean	X
development	X
mechanism	X
(	PUNCT
CDM	PROPN
)	PUNCT
,	PUNCT
"	PUNCT
kata	VERB
Direktur	NOUN
Pendanaan	NOUN
Luar	NOUN
Negeri	NOUN
Multilateral	NOUN
Bappenas	PROPN
,	PUNCT
RM	PROPN
Dewo	PROPN
Broto	PROPN
Joko	PROPN
P.	PROPN
di	ADP
ruang	NOUN
kerjanya	VERB
di	ADP
Gedung	PROPN
Bappenas	PROPN
Jakarta	PROPN
,	PUNCT
akhir	NOUN
pekan	NOUN
ini	DET
.	PUNCT

Menurutnya	PRON
,	PUNCT
peringkat	NOUN
tersebut	DET
diberikan	VERB
berdasarkan	VERB
data	NOUN
dan	CCONJ
informasi	NOUN
dari	ADP
perusahaan	NOUN
serta	CCONJ
laporan	NOUN
keuangan	NOUN
auditan	NOUN
per	ADP
31	NUM
Desember	PROPN
2006	NUM
serta	CCONJ
laporan	NOUN
keuangan	NOUN
tidak	PART
audit	NOUN
per	ADP
31	NUM
Maret	PROPN
2007	NUM
.	PUNCT

Ada	VERB
kerahasiaan	NOUN
mengenai	ADP
acara	NOUN
itu	DET
,	PUNCT
pihak	NOUN
penyelenggara	NOUN
tidak	PART
membeberkan	VERB
nama-nama	NOUN
tamu	NOUN
.	PUNCT

Novel	NOUN
aslinya	ADJ
terdiri	VERB
dari	ADP
26	NUM
bab	NOUN
dan	CCONJ
hampir	ADV
mencapai	VERB
1.000	NUM
halaman	NOUN
.	PUNCT

"	PUNCT
Nanti	NOUN
baru	ADV
akan	AUX
kelihatan	VERB
tekanannya	NOUN
,	PUNCT
yaitu	SCONJ
keseimbangan	NOUN
antara	ADP
penerimaan	NOUN
dengan	ADP
pengeluaran	NOUN
itu	DET
pada	ADP
kuartal	NOUN
kedua	ADJ
dan	CCONJ
ketiga	ADJ
,	PUNCT
saat	SCONJ
ada	VERB
beberapa	DET
utang	NOUN
yang	SCONJ
jatuh	VERB
tempo	NOUN
dan	CCONJ
pengeluaran-pengeluaran	NOUN
mulai	VERB
terjadi	VERB
,	PUNCT
"	PUNCT
ujarnya	VERB
.	PUNCT

"	PUNCT
Berbagai	DET
hal	NOUN
harus	AUX
dikoordinasikan	VERB
dan	CCONJ
dikomunikasikan	VERB
seperti	ADP
design	X
instrumennya	NOUN
,	PUNCT
kapan	ADV
mengeluarkan	VERB
,	PUNCT
dan	CCONJ
bagaimana	ADV
pengaruhnya	NOUN
terhadap	ADP
kondisi	NOUN
moneter	ADJ
maupun	CCONJ
fiskal	ADJ
,	PUNCT
karena	SCONJ
dua-duanya	NUM
saling	ADV
mempengaruhi	VERB
,	PUNCT
"	PUNCT
kata	VERB
Menteri	PROPN
Keuangan	NOUN
Sri	PROPN
Mulyani	PROPN
.	PUNCT

Namun	CCONJ
baik	CCONJ
Toba	PROPN
Pulp	PROPN
maupun	CCONJ
Pinnacle	PROPN
belum	PART
memberikan	VERB
keterangan	NOUN
apa	PRON
pun	PART
.	PUNCT

Dengan	ADP
jumlah	NOUN
produksi	NOUN
yang	SCONJ
ada	VERB
sekarang	NOUN
dan	CCONJ
tanpa	ADP
kenaikan	NOUN
HJE	PROPN
dan	CCONJ
penerapan	NOUN
cukai	NOUN
spesifik	ADJ
maka	SCONJ
penerimaan	NOUN
negara	NOUN
dari	ADP
cukai	NOUN
tidak	PART
bisa	AUX
mencapai	VERB
Rp	NOUN
42,03	NUM
triliun	NUM
.	PUNCT

Bank	PROPN
Mandiri	PROPN
saat	NOUN
ini	DET
mampu	ADJ
mengurangi	VERB
biaya	NOUN
TI	NOUN
hingga	ADP
5	NUM
-	PUNCT
10	NUM
persen	NOUN
per	ADP
tahun	NOUN
,	PUNCT
karena	ADP
semakin	ADV
kuatnya	ADJ
kapasitas	NOUN
terpasang	VERB
.	PUNCT

Kalbe	PROPN
Farma	PROPN
mempunyai	VERB
tiga	NUM
divisi	NOUN
yakni	SCONJ
farmasi	NOUN
,	PUNCT
makanan	NOUN
kesehatan	NOUN
serta	CCONJ
kemasan	NOUN
dan	CCONJ
distribusi	NOUN
.	PUNCT

Sutradara	NOUN
kelahiran	NOUN
Meksiko	PROPN
,	PUNCT
Guillermo	PROPN
Del	PROPN
Toro	PROPN
telah	AUX
bersedia	VERB
menjadi	VERB
sutradara	NOUN
film	NOUN
tersebut	DET
,	PUNCT
tapi	CCONJ
